step,dx,dz,volume_ul,liquid_class,timer_delta,source,step_index,destination,group_number,timer_group_check,guid,from_path,asp_mixing,dispense_type,tip_type,touchoff_dis,to_plate,to_well,from_plate,from_well,liquid_type_x,liquid_type_y,liquid_type
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,1,1,0.0,1,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,1,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,2,1,0.0,2,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,2,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,3,1,0.0,3,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,3,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,4,1,0.0,4,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,4,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,5,1,0.0,5,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,5,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,6,1,0.0,6,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,6,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,7,1,0.0,7,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,7,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,8,1,0.0,8,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,8,ivl_384_flat_v1_0001,19,water,,water
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,1,2,8.0,1,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,1,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,2,2,8.0,2,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,2,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,3,2,8.0,3,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,3,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,4,2,8.0,4,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,4,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,5,2,8.0,5,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,5,ivl_96_dw_v1_0001,1,imaging,,imaging
